  win   (r, c)   taps 0-2   | taps 3-5   | taps 6-8    position
 741 (23, 5)  20 28 30 | 20 28 30 | 20 28 30  interior
 742 (23, 6)  28 30 38 | 28 30 38 | 28 30 38  interior
 743 (23, 7)  30 38 40 | 30 38 40 | 30 38 40  interior
 744 (23, 8)  38 40 48 | 38 40 48 | 38 40 48  interior
 745 (23, 9)  40 48 50 | 40 48 50 | 40 48 50  interior
 746 (23,10)  48 50 58 | 48 50 58 | 48 50 58  interior
 747 (23,11)  50 58 60 | 50 58 60 | 50 58 60  interior
 748 (23,12)  58 60 68 | 58 60 68 | 58 60 68  interior
 749 (23,13)  60 68 70 | 60 68 70 | 60 68 70  interior
 750 (23,14)  68 70 78 | 68 70 78 | 68 70 78  interior
 751 (23,15)  70 78 80 | 70 78 80 | 70 78 80  interior
 752 (23,16)  78 80 88 | 78 80 88 | 78 80 88  interior
 753 (23,17)  80 88 90 | 80 88 90 | 80 88 90  interior
 754 (23,18)  88 90 98 | 88 90 98 | 88 90 98  interior
 755 (23,19)  90 98 a0 | 90 98 a0 | 90 98 a0  interior
 756 (23,20)  98 a0 a8 | 98 a0 a8 | 98 a0 a8  interior
 757 (23,21)  a0 a8 b0 | a0 a8 b0 | a0 a8 b0  interior
 758 (23,22)  a8 b0 b8 | a8 b0 b8 | a8 b0 b8  interior
 759 (23,23)  b0 b8 c0 | b0 b8 c0 | b0 b8 c0  interior
 760 (23,24)  b8 c0 c8 | b8 c0 c8 | b8 c0 c8  interior
 761 (23,25)  c0 c8 d0 | c0 c8 d0 | c0 c8 d0  interior
 762 (23,26)  c8 d0 d8 | c8 d0 d8 | c8 d0 d8  interior
 763 (23,27)  d0 d8 e0 | d0 d8 e0 | d0 d8 e0  interior
 764 (23,28)  d8 e0 e8 | d8 e0 e8 | d8 e0 e8  interior
 765 (23,29)  e0 e8 f0 | e0 e8 f0 | e0 e8 f0  interior
 766 (23,30)  e8 f0 f8 | e8 f0 f8 | e8 f0 f8  interior
 767 (23,31)  f0 f8 00 | f0 f8 00 | f0 f8 00  right
 768 (24, 0)  00 00 08 | 00 00 08 | 00 00 08  left
 769 (24, 1)  00 08 10 | 00 08 10 | 00 08 10  interior
 770 (24, 2)  08 10 18 | 08 10 18 | 08 10 18  interior
 771 (24, 3)  10 18 20 | 10 18 20 | 10 18 20  interior
 772 (24, 4)  18 20 28 | 18 20 28 | 18 20 28  interior
 773 (24, 5)  20 28 30 | 20 28 30 | 20 28 30  interior
 774 (24, 6)  28 30 38 | 28 30 38 | 28 30 38  interior
 775 (24, 7)  30 38 40 | 30 38 40 | 30 38 40  interior
 776 (24, 8)  38 40 48 | 38 40 48 | 38 40 48  interior
 777 (24, 9)  40 48 50 | 40 48 50 | 40 48 50  interior
 778 (24,10)  48 50 58 | 48 50 58 | 48 50 58  interior
 779 (24,11)  50 58 60 | 50 58 60 | 50 58 60  interior
 780 (24,12)  58 60 68 | 58 60 68 | 58 60 68  interior
 781 (24,13)  60 68 70 | 60 68 70 | 60 68 70  interior
 782 (24,14)  68 70 78 | 68 70 78 | 68 70 78  interior
 783 (24,15)  70 78 80 | 70 78 80 | 70 78 80  interior
 784 (24,16)  78 80 88 | 78 80 88 | 78 80 88  interior
 785 (24,17)  80 88 90 | 80 88 90 | 80 88 90  interior
 786 (24,18)  88 90 98 | 88 90 98 | 88 90 98  interior
 787 (24,19)  90 98 a0 | 90 98 a0 | 90 98 a0  interior
 788 (24,20)  98 a0 a8 | 98 a0 a8 | 98 a0 a8  interior
 789 (24,21)  a0 a8 b0 | a0 a8 b0 | a0 a8 b0  interior
 790 (24,22)  a8 b0 b8 | a8 b0 b8 | a8 b0 b8  interior
 791 (24,23)  b0 b8 c0 | b0 b8 c0 | b0 b8 c0  interior
 792 (24,24)  b8 c0 c8 | b8 c0 c8 | b8 c0 c8  interior
 793 (24,25)  c0 c8 d0 | c0 c8 d0 | c0 c8 d0  interior
 794 (24,26)  c8 d0 d8 | c8 d0 d8 | c8 d0 d8  interior
 795 (24,27)  d0 d8 e0 | d0 d8 e0 | d0 d8 e0  interior
 796 (24,28)  d8 e0 e8 | d8 e0 e8 | d8 e0 e8  interior
 797 (24,29)  e0 e8 f0 | e0 e8 f0 | e0 e8 f0  interior
 798 (24,30)  e8 f0 f8 | e8 f0 f8 | e8 f0 f8  interior
 799 (24,31)  f0 f8 00 | f0 f8 00 | f0 f8 00  right
 800 (25, 0)  00 00 08 | 00 00 08 | 00 00 08  left
 801 (25, 1)  00 08 10 | 00 08 10 | 00 08 10  interior
 802 (25, 2)  08 10 18 | 08 10 18 | 08 10 18  interior
 803 (25, 3)  10 18 20 | 10 18 20 | 10 18 20  interior
 804 (25, 4)  18 20 28 | 18 20 28 | 18 20 28  interior
 805 (25, 5)  20 28 30 | 20 28 30 | 20 28 30  interior
 806 (25, 6)  28 30 38 | 28 30 38 | 28 30 38  interior
 807 (25, 7)  30 38 40 | 30 38 40 | 30 38 40  interior
 808 (25, 8)  38 40 48 | 38 40 48 | 38 40 48  interior
 809 (25, 9)  40 48 50 | 40 48 50 | 40 48 50  interior
 810 (25,10)  48 50 58 | 48 50 58 | 48 50 58  interior
 811 (25,11)  50 58 60 | 50 58 60 | 50 58 60  interior
 812 (25,12)  58 60 68 | 58 60 68 | 58 60 68  interior
 813 (25,13)  60 68 70 | 60 68 70 | 60 68 70  interior
 814 (25,14)  68 70 78 | 68 70 78 | 68 70 78  interior
 815 (25,15)  70 78 80 | 70 78 80 | 70 78 80  interior
 816 (25,16)  78 80 88 | 78 80 88 | 78 80 88  interior
 817 (25,17)  80 88 90 | 80 88 90 | 80 88 90  interior
 818 (25,18)  88 90 98 | 88 90 98 | 88 90 98  interior
 819 (25,19)  90 98 a0 | 90 98 a0 | 90 98 a0  interior
 820 (25,20)  98 a0 a8 | 98 a0 a8 | 98 a0 a8  interior
 821 (25,21)  a0 a8 b0 | a0 a8 b0 | a0 a8 b0  interior
 822 (25,22)  a8 b0 b8 | a8 b0 b8 | a8 b0 b8  interior
 823 (25,23)  b0 b8 c0 | b0 b8 c0 | b0 b8 c0  interior
 824 (25,24)  b8 c0 c8 | b8 c0 c8 | b8 c0 c8  interior
 825 (25,25)  c0 c8 d0 | c0 c8 d0 | c0 c8 d0  interior
 826 (25,26)  c8 d0 d8 | c8 d0 d8 | c8 d0 d8  interior
 827 (25,27)  d0 d8 e0 | d0 d8 e0 | d0 d8 e0  interior
 828 (25,28)  d8 e0 e8 | d8 e0 e8 | d8 e0 e8  interior
 829 (25,29)  e0 e8 f0 | e0 e8 f0 | e0 e8 f0  interior
 830 (25,30)  e8 f0 f8 | e8 f0 f8 | e8 f0 f8  interior
 831 (25,31)  f0 f8 00 | f0 f8 00 | f0 f8 00  right
 832 (26, 0)  00 00 08 | 00 00 08 | 00 00 08  left
 833 (26, 1)  00 08 10 | 00 08 10 | 00 08 10  interior
 834 (26, 2)  08 10 18 | 08 10 18 | 08 10 18  interior
 835 (26, 3)  10 18 20 | 10 18 20 | 10 18 20  interior
 836 (26, 4)  18 20 28 | 18 20 28 | 18 20 28  interior
 837 (26, 5)  20 28 30 | 20 28 30 | 20 28 30  interior
 838 (26, 6)  28 30 38 | 28 30 38 | 28 30 38  interior
 839 (26, 7)  30 38 40 | 30 38 40 | 30 38 40  interior
 840 (26, 8)  38 40 48 | 38 40 48 | 38 40 48  interior
 841 (26, 9)  40 48 50 | 40 48 50 | 40 48 50  interior
 842 (26,10)  48 50 58 | 48 50 58 | 48 50 58  interior
 843 (26,11)  50 58 60 | 50 58 60 | 50 58 60  interior
 844 (26,12)  58 60 68 | 58 60 68 | 58 60 68  interior
 845 (26,13)  60 68 70 | 60 68 70 | 60 68 70  interior
 846 (26,14)  68 70 78 | 68 70 78 | 68 70 78  interior
 847 (26,15)  70 78 80 | 70 78 80 | 70 78 80  interior
 848 (26,16)  78 80 88 | 78 80 88 | 78 80 88  interior
 849 (26,17)  80 88 90 | 80 88 90 | 80 88 90  interior
 850 (26,18)  88 90 98 | 88 90 98 | 88 90 98  interior
 851 (26,19)  90 98 a0 | 90 98 a0 | 90 98 a0  interior
 852 (26,20)  98 a0 a8 | 98 a0 a8 | 98 a0 a8  interior
 853 (26,21)  a0 a8 b0 | a0 a8 b0 | a0 a8 b0  interior
 854 (26,22)  a8 b0 b8 | a8 b0 b8 | a8 b0 b8  interior
 855 (26,23)  b0 b8 c0 | b0 b8 c0 | b0 b8 c0  interior
 856 (26,24)  b8 c0 c8 | b8 c0 c8 | b8 c0 c8  interior
 857 (26,25)  c0 c8 d0 | c0 c8 d0 | c0 c8 d0  interior
 858 (26,26)  c8 d0 d8 | c8 d0 d8 | c8 d0 d8  interior
 859 (26,27)  d0 d8 e0 | d0 d8 e0 | d0 d8 e0  interior
 860 (26,28)  d8 e0 e8 | d8 e0 e8 | d8 e0 e8  interior
 861 (26,29)  e0 e8 f0 | e0 e8 f0 | e0 e8 f0  interior
 862 (26,30)  e8 f0 f8 | e8 f0 f8 | e8 f0 f8  interior
 863 (26,31)  f0 f8 00 | f0 f8 00 | f0 f8 00  right
 864 (27, 0)  00 00 08 | 00 00 08 | 00 00 08  left
 865 (27, 1)  00 08 10 | 00 08 10 | 00 08 10  interior
 866 (27, 2)  08 10 18 | 08 10 18 | 08 10 18  interior
 867 (27, 3)  10 18 20 | 10 18 20 | 10 18 20  interior
 868 (27, 4)  18 20 28 | 18 20 28 | 18 20 28  interior
 869 (27, 5)  20 28 30 | 20 28 30 | 20 28 30  interior
 870 (27, 6)  28 30 38 | 28 30 38 | 28 30 38  interior
 871 (27, 7)  30 38 40 | 30 38 40 | 30 38 40  interior
 872 (27, 8)  38 40 48 | 38 40 48 | 38 40 48  interior
 873 (27, 9)  40 48 50 | 40 48 50 | 40 48 50  interior
 874 (27,10)  48 50 58 | 48 50 58 | 48 50 58  interior
 875 (27,11)  50 58 60 | 50 58 60 | 50 58 60  interior
 876 (27,12)  58 60 68 | 58 60 68 | 58 60 68  interior
 877 (27,13)  60 68 70 | 60 68 70 | 60 68 70  interior
 878 (27,14)  68 70 78 | 68 70 78 | 68 70 78  interior
 879 (27,15)  70 78 80 | 70 78 80 | 70 78 80  interior
 880 (27,16)  78 80 88 | 78 80 88 | 78 80 88  interior
 881 (27,17)  80 88 90 | 80 88 90 | 80 88 90  interior
 882 (27,18)  88 90 98 | 88 90 98 | 88 90 98  interior
 883 (27,19)  90 98 a0 | 90 98 a0 | 90 98 a0  interior
 884 (27,20)  98 a0 a8 | 98 a0 a8 | 98 a0 a8  interior
 885 (27,21)  a0 a8 b0 | a0 a8 b0 | a0 a8 b0  interior
 886 (27,22)  a8 b0 b8 | a8 b0 b8 | a8 b0 b8  interior
 887 (27,23)  b0 b8 c0 | b0 b8 c0 | b0 b8 c0  interior
 888 (27,24)  b8 c0 c8 | b8 c0 c8 | b8 c0 c8  interior
 889 (27,25)  c0 c8 d0 | c0 c8 d0 | c0 c8 d0  interior
 890 (27,26)  c8 d0 d8 | c8 d0 d8 | c8 d0 d8  interior
 891 (27,27)  d0 d8 e0 | d0 d8 e0 | d0 d8 e0  interior
 892 (27,28)  d8 e0 e8 | d8 e0 e8 | d8 e0 e8  interior
 893 (27,29)  e0 e8 f0 | e0 e8 f0 | e0 e8 f0  interior
 894 (27,30)  e8 f0 f8 | e8 f0 f8 | e8 f0 f8  interior
 895 (27,31)  f0 f8 00 | f0 f8 00 | f0 f8 00  right
 896 (28, 0)  00 00 08 | 00 00 08 | 00 00 08  left
 897 (28, 1)  00 08 10 | 00 08 10 | 00 08 10  interior
 898 (28, 2)  08 10 18 | 08 10 18 | 08 10 18  interior
 899 (28, 3)  10 18 20 | 10 18 20 | 10 18 20  interior
 900 (28, 4)  18 20 28 | 18 20 28 | 18 20 28  interior
 901 (28, 5)  20 28 30 | 20 28 30 | 20 28 30  interior
 902 (28, 6)  28 30 38 | 28 30 38 | 28 30 38  interior
 903 (28, 7)  30 38 40 | 30 38 40 | 30 38 40  interior
 904 (28, 8)  38 40 48 | 38 40 48 | 38 40 48  interior
 905 (28, 9)  40 48 50 | 40 48 50 | 40 48 50  interior
 906 (28,10)  48 50 58 | 48 50 58 | 48 50 58  interior
 907 (28,11)  50 58 60 | 50 58 60 | 50 58 60  interior
 908 (28,12)  58 60 68 | 58 60 68 | 58 60 68  interior
 909 (28,13)  60 68 70 | 60 68 70 | 60 68 70  interior
 910 (28,14)  68 70 78 | 68 70 78 | 68 70 78  interior
 911 (28,15)  70 78 80 | 70 78 80 | 70 78 80  interior
 912 (28,16)  78 80 88 | 78 80 88 | 78 80 88  interior
 913 (28,17)  80 88 90 | 80 88 90 | 80 88 90  interior
 914 (28,18)  88 90 98 | 88 90 98 | 88 90 98  interior
 915 (28,19)  90 98 a0 | 90 98 a0 | 90 98 a0  interior
 916 (28,20)  98 a0 a8 | 98 a0 a8 | 98 a0 a8  interior
 917 (28,21)  a0 a8 b0 | a0 a8 b0 | a0 a8 b0  interior
 918 (28,22)  a8 b0 b8 | a8 b0 b8 | a8 b0 b8  interior
 919 (28,23)  b0 b8 c0 | b0 b8 c0 | b0 b8 c0  interior
 920 (28,24)  b8 c0 c8 | b8 c0 c8 | b8 c0 c8  interior
 921 (28,25)  c0 c8 d0 | c0 c8 d0 | c0 c8 d0  interior
 922 (28,26)  c8 d0 d8 | c8 d0 d8 | c8 d0 d8  interior
 923 (28,27)  d0 d8 e0 | d0 d8 e0 | d0 d8 e0  interior
 924 (28,28)  d8 e0 e8 | d8 e0 e8 | d8 e0 e8  interior
 925 (28,29)  e0 e8 f0 | e0 e8 f0 | e0 e8 f0  interior
 926 (28,30)  e8 f0 f8 | e8 f0 f8 | e8 f0 f8  interior
 927 (28,31)  f0 f8 00 | f0 f8 00 | f0 f8 00  right
 928 (29, 0)  00 00 08 | 00 00 08 | 00 00 08  left
 929 (29, 1)  00 08 10 | 00 08 10 | 00 08 10  interior
 930 (29, 2)  08 10 18 | 08 10 18 | 08 10 18  interior
 931 (29, 3)  10 18 20 | 10 18 20 | 10 18 20  interior
 932 (29, 4)  18 20 28 | 18 20 28 | 18 20 28  interior
 933 (29, 5)  20 28 30 | 20 28 30 | 20 28 30  interior
 934 (29, 6)  28 30 38 | 28 30 38 | 28 30 38  interior
 935 (29, 7)  30 38 40 | 30 38 40 | 30 38 40  interior
 936 (29, 8)  38 40 48 | 38 40 48 | 38 40 48  interior
 937 (29, 9)  40 48 50 | 40 48 50 | 40 48 50  interior
 938 (29,10)  48 50 58 | 48 50 58 | 48 50 58  interior
 939 (29,11)  50 58 60 | 50 58 60 | 50 58 60  interior
 940 (29,12)  58 60 68 | 58 60 68 | 58 60 68  interior
 941 (29,13)  60 68 70 | 60 68 70 | 60 68 70  interior
 942 (29,14)  68 70 78 | 68 70 78 | 68 70 78  interior
 943 (29,15)  70 78 80 | 70 78 80 | 70 78 80  interior
 944 (29,16)  78 80 88 | 78 80 88 | 78 80 88  interior
 945 (29,17)  80 88 90 | 80 88 90 | 80 88 90  interior
 946 (29,18)  88 90 98 | 88 90 98 | 88 90 98  interior
 947 (29,19)  90 98 a0 | 90 98 a0 | 90 98 a0  interior
 948 (29,20)  98 a0 a8 | 98 a0 a8 | 98 a0 a8  interior
 949 (29,21)  a0 a8 b0 | a0 a8 b0 | a0 a8 b0  interior
 950 (29,22)  a8 b0 b8 | a8 b0 b8 | a8 b0 b8  interior
 951 (29,23)  b0 b8 c0 | b0 b8 c0 | b0 b8 c0  interior
 952 (29,24)  b8 c0 c8 | b8 c0 c8 | b8 c0 c8  interior
 953 (29,25)  c0 c8 d0 | c0 c8 d0 | c0 c8 d0  interior
 954 (29,26)  c8 d0 d8 | c8 d0 d8 | c8 d0 d8  interior
 955 (29,27)  d0 d8 e0 | d0 d8 e0 | d0 d8 e0  interior
 956 (29,28)  d8 e0 e8 | d8 e0 e8 | d8 e0 e8  interior
 957 (29,29)  e0 e8 f0 | e0 e8 f0 | e0 e8 f0  interior
 958 (29,30)  e8 f0 f8 | e8 f0 f8 | e8 f0 f8  interior
 959 (29,31)  f0 f8 00 | f0 f8 00 | f0 f8 00  right
 960 (30, 0)  00 00 08 | 00 00 08 | 00 00 08  left
 961 (30, 1)  00 08 10 | 00 08 10 | 00 08 10  interior
 962 (30, 2)  08 10 18 | 08 10 18 | 08 10 18  interior
 963 (30, 3)  10 18 20 | 10 18 20 | 10 18 20  interior
 964 (30, 4)  18 20 28 | 18 20 28 | 18 20 28  interior
 965 (30, 5)  20 28 30 | 20 28 30 | 20 28 30  interior
 966 (30, 6)  28 30 38 | 28 30 38 | 28 30 38  interior
 967 (30, 7)  30 38 40 | 30 38 40 | 30 38 40  interior
 968 (30, 8)  38 40 48 | 38 40 48 | 38 40 48  interior
 969 (30, 9)  40 48 50 | 40 48 50 | 40 48 50  interior
 970 (30,10)  48 50 58 | 48 50 58 | 48 50 58  interior
 971 (30,11)  50 58 60 | 50 58 60 | 50 58 60  interior
 972 (30,12)  58 60 68 | 58 60 68 | 58 60 68  interior
 973 (30,13)  60 68 70 | 60 68 70 | 60 68 70  interior
 974 (30,14)  68 70 78 | 68 70 78 | 68 70 78  interior
 975 (30,15)  70 78 80 | 70 78 80 | 70 78 80  interior
 976 (30,16)  78 80 88 | 78 80 88 | 78 80 88  interior
 977 (30,17)  80 88 90 | 80 88 90 | 80 88 90  interior
 978 (30,18)  88 90 98 | 88 90 98 | 88 90 98  interior
 979 (30,19)  90 98 a0 | 90 98 a0 | 90 98 a0  interior
 980 (30,20)  98 a0 a8 | 98 a0 a8 | 98 a0 a8  interior
 981 (30,21)  a0 a8 b0 | a0 a8 b0 | a0 a8 b0  interior
 982 (30,22)  a8 b0 b8 | a8 b0 b8 | a8 b0 b8  interior
 983 (30,23)  b0 b8 c0 | b0 b8 c0 | b0 b8 c0  interior
 984 (30,24)  b8 c0 c8 | b8 c0 c8 | b8 c0 c8  interior
 985 (30,25)  c0 c8 d0 | c0 c8 d0 | c0 c8 d0  interior
 986 (30,26)  c8 d0 d8 | c8 d0 d8 | c8 d0 d8  interior
 987 (30,27)  d0 d8 e0 | d0 d8 e0 | d0 d8 e0  interior
 988 (30,28)  d8 e0 e8 | d8 e0 e8 | d8 e0 e8  interior
 989 (30,29)  e0 e8 f0 | e0 e8 f0 | e0 e8 f0  interior
 990 (30,30)  e8 f0 f8 | e8 f0 f8 | e8 f0 f8  interior
 991 (30,31)  f0 f8 00 | f0 f8 00 | f0 f8 00  right
 992 (31, 0)  00 00 08 | 00 00 08 | 00 00 00  bottom, left
 993 (31, 1)  00 08 10 | 00 08 10 | 00 00 00  bottom
 994 (31, 2)  08 10 18 | 08 10 18 | 00 00 00  bottom
 995 (31, 3)  10 18 20 | 10 18 20 | 00 00 00  bottom
 996 (31, 4)  18 20 28 | 18 20 28 | 00 00 00  bottom
 997 (31, 5)  20 28 30 | 20 28 30 | 00 00 00  bottom
 998 (31, 6)  28 30 38 | 28 30 38 | 00 00 00  bottom
 999 (31, 7)  30 38 40 | 30 38 40 | 00 00 00  bottom
1000 (31, 8)  38 40 48 | 38 40 48 | 00 00 00  bottom
1001 (31, 9)  40 48 50 | 40 48 50 | 00 00 00  bottom
1002 (31,10)  48 50 58 | 48 50 58 | 00 00 00  bottom
1003 (31,11)  50 58 60 | 50 58 60 | 00 00 00  bottom
1004 (31,12)  58 60 68 | 58 60 68 | 00 00 00  bottom
1005 (31,13)  60 68 70 | 60 68 70 | 00 00 00  bottom
1006 (31,14)  68 70 78 | 68 70 78 | 00 00 00  bottom
1007 (31,15)  70 78 80 | 70 78 80 | 00 00 00  bottom
1008 (31,16)  78 80 88 | 78 80 88 | 00 00 00  bottom
1009 (31,17)  80 88 90 | 80 88 90 | 00 00 00  bottom
1010 (31,18)  88 90 98 | 88 90 98 | 00 00 00  bottom
1011 (31,19)  90 98 a0 | 90 98 a0 | 00 00 00  bottom
1012 (31,20)  98 a0 a8 | 98 a0 a8 | 00 00 00  bottom
1013 (31,21)  a0 a8 b0 | a0 a8 b0 | 00 00 00  bottom
1014 (31,22)  a8 b0 b8 | a8 b0 b8 | 00 00 00  bottom
1015 (31,23)  b0 b8 c0 | b0 b8 c0 | 00 00 00  bottom
1016 (31,24)  b8 c0 c8 | b8 c0 c8 | 00 00 00  bottom
1017 (31,25)  c0 c8 d0 | c0 c8 d0 | 00 00 00  bottom
1018 (31,26)  c8 d0 d8 | c8 d0 d8 | 00 00 00  bottom
1019 (31,27)  d0 d8 e0 | d0 d8 e0 | 00 00 00  bottom
1020 (31,28)  d8 e0 e8 | d8 e0 e8 | 00 00 00  bottom
1021 (31,29)  e0 e8 f0 | e0 e8 f0 | 00 00 00  bottom
1022 (31,30)  e8 f0 f8 | e8 f0 f8 | 00 00 00  bottom
1023 (31,31)  f0 f8 00 | f0 f8 00 | 00 00 00  bottom, right
